id,file_name,mos,light,color,noise,exposure,nature,content_recovery,description
b_2_C,b_2_C.png,3.52,3.5625,2.8125,2.875,1.9375,2.4375,2.6875,"The image has bright brightness, low color contrast, obvious noise on the left side of the building and Severe exposure in the sky, presenting a  unnatural appearance."
b_2_D,b_2_D.png,4.89375,2.875,3.125,2.6875,3.5625,3.1875,3.0,"The image has moderate brightness, high color contrast with particularly natural sky colors, obvious noise on the moon and the building to the right and well-controlled exposure conditions, presenting a  unnatural appearance."
b_2_E,b_2_E.png,2.85625,3.3125,2.625,1.9375,3.0625,1.875,2.5625,"The image has moderate brightness, medium color contrast with natural colors, obvious noise on the left trees and the right black building and well-controlled exposure conditions, presenting a  natural appearance."
b_2_F,b_2_F.png,5.16,3.25,3.0625,2.875,3.5,3.3125,3.0625,"The image has moderate brightness, medium color contrast, obvious noise on the right side of the building and well-controlled exposure conditions, presenting a  unnatural appearance."
b_2_G,b_2_G.png,5.175,2.75,2.875,3.125,3.625,3.4375,3.25,"The image has dim brightness, resembling an evening shot, low color contrast, obvious noise on the buildings' right side and well-controlled exposure conditions, presenting a  natural appearance."
b_2_H,b_2_H.png,3.2375,3.25,2.875,1.1875,3.25,2.0625,2.375,"The image has moderate brightness, medium color contrast with vibrant colors, severe noise in the sky and on the right side of the building, with very blurry trees on the left and well-controlled exposure conditions, presenting a  unnatural appearance."
b_2_I,b_2_I.png,2.44,3.1875,2.6875,2.4375,2.0625,2.25,2.5,"The image has bright brightness, low color contrast, obvious noise on the building to the right and Severe exposure in the sky causing a loss of color in the sky and the moon, presenting a  unnatural appearance."
b_2_J,b_2_J.png,5.71333,3.375,3.625,3.25,3.625,3.375,3.4375,"The image has bright brightness, medium color contrast with harmonious colors, slight noise on the building to the right and well-controlled exposure on the moon, presenting a  natural appearance."
b_5_A,b_5_A.png,7.54667,3.8125,3.9375,4.0,4.125,4.0625,4.0625,"The image has moderate brightness, and the right side of the building is in shadow high color contrast with harmonious colors, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
b_5_B,b_5_B.png,4.86,2.5625,3.0625,3.125,3.5,3.0,2.9375,"The image has moderate brightness with no areas in shadow, medium color contrast, slight noise on the two balconies of the building and slight blurriness at the balconies and well-controlled exposure conditions, presenting a  unnatural appearance."
b_5_C,b_5_C.png,7.75,3.8125,4.25,4.0625,4.0625,4.0625,4.0,"The image has bright brightness on the left building, high color contrast with vibrant colors, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
b_5_D,b_5_D.png,3.1375,3.4375,2.5625,1.625,2.875,1.6875,2.5625,"The image has moderate brightness,and slightly darkened brightness on the right side of the building, low color contrast slight noise on the building's balcony and well-controlled exposure conditions, presenting a  natural appearance."
b_5_E,b_5_E.png,5.78125,3.875,3.375,3.4375,3.5625,3.5,3.5,"The image has bright brightness with no areas in shadow, medium color contrast with vibrant colors, severe noise around the image and well-controlled exposure conditions, presenting a  unnatural appearance."
b_5_F,b_5_F.png,4.3125,3.6875,2.625,3.5,2.13333,3.0625,3.1875,"The image has bright brightness, low color contrast with slightly washed-out colors, obvious noise on the building and local exposure on the left side of the building, presenting a  unnatural appearance."
b_5_G,b_5_G.png,5.16,3.1875,3.0625,3.375,3.5625,3.125,3.375,"The image has moderate brightness with no areas in shadow, low color contrast,slightly blurred due to a white haze, slight noise and well-controlled exposure conditions, presenting a  unnatural appearance."
b_5_H,b_5_H.png,7.06875,4.125,3.4375,3.5625,3.625,3.625,3.8125,"The image has moderate brightness,and the far right side of the building remains in shadow, low color contrast with poorly handled details of the buildings and trees, slight noise on the buildings and well-controlled exposure conditions, presenting a  natural appearance."
b_5_I,b_5_I.png,7.38667,4.375,3.6875,3.5625,3.4375,3.75,3.875,"The image has bright brightness with no shaded areas, high color contrast with vibrant and harmonious colors, obvious noise on the buildings and trees and well-controlled exposure conditions, presenting a  natural appearance."
b_5_J,b_5_J.png,4.35625,3.0,2.125,3.625,3.4375,2.9375,3.375,"The image has dim brightness, medium color contrast, obvious noise and local exposure on the left side of the building, presenting a  unnatural appearance."
b_6_A,b_6_A.png,5.35333,2.6875,3.125,2.625,3.25,2.6875,3.0625,"The image has moderate brightness, medium color contrast, obvious noise on the door and the statue in front of it and well-controlled exposure conditions, presenting a  unnatural appearance."
b_6_B,b_6_B.png,2.89375,3.4375,2.8125,1.75,2.5,1.8125,2.25,"The image has moderate brightness, medium color contrast with vivid colors with an overall white haze, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
b_6_C,b_6_C.png,4.875,2.125,2.9375,3.4375,3.75,3.0,3.0,"The image has dim brightness,and appears as if it was taken in the evening, low color contrast, slight noise and well-controlled exposure conditions, presenting a  unnatural appearance."
b_6_D,b_6_D.png,5.64375,2.0,3.4375,3.6875,3.75,3.1875,3.375,"The image has dim brightness with very clear characters on the plaque, medium color contrast with vivid colors, slight noise on the door and the statue in front and well-controlled exposure conditions, presenting a  natural appearance."
b_6_E,b_6_E.png,7.525,3.375,4.125,4.1875,4.0625,4.125,4.1875,"The image has moderate brightness, high color contrast and excellent detail handling with especially clear characters on the couplets slight noise on the statue in front of the door and well-controlled exposure conditions, presenting a  natural appearance."
b_6_F,b_6_F.png,6.4375,4.0,3.75,3.0625,3.625,3.5625,3.6875,"The image has bright brightness, high color contrast with vibrant colors,decent preservation of building details, obvious noise on the door, and appears to have been taken during the day, and well-controlled exposure conditions, presenting a  natural appearance."
b_6_G,b_6_G.png,5.91875,3.6875,3.4375,2.75,3.6875,3.375,3.25,"The image has bright brightness, medium color contrast with harmonious colors, obvious noise, especially around the main entrance, making it overall appear quite blurry and well-controlled exposure conditions, presenting a  natural appearance."
b_6_H,b_6_H.png,5.88667,3.375,3.1875,2.75,3.5,3.25,3.375,"The image has dim brightness, low color contrast, and the plaque appears to be covered with a white haze, slight noise on the door and well-controlled exposure conditions, presenting a  natural appearance."
b_6_I,b_6_I.png,5.75,3.8125,3.3125,3.3125,2.625,3.0625,3.3125,"The image has bright brightness, low color contrast with a white haze that causes some detail loss, obvious noise and local exposure conditions, presenting a  unnatural appearance."
b_6_J,b_6_J.png,5.38125,2.875,3.625,3.6875,3.5625,3.4375,3.375,"The image has moderate brightness, medium color contrast with vivid colors, severe noise, poor detail handling and appears very blurry and well-controlled exposure conditions, presenting a  unnatural appearance."
b_7_A,b_7_A.png,5.25,2.9375,3.0625,2.6875,3.5,3.4375,3.25,"The image has moderate brightness, medium color contrast with somewhat dull and low-saturation colors, obvious noise in the leaves and the railing causing detail loss and well-controlled exposure conditions, presenting a  natural appearance."
b_7_B,b_7_B.png,6.46875,3.875,3.625,3.4375,3.1875,3.5625,3.625,"The image has bright brightness, medium color contrast with realistic colors, slight noise, clear visibility of plant leaves and building textures and well-controlled exposure conditions, presenting a  natural appearance."
b_7_C,b_7_C.png,5.24375,2.5,3.5,2.6875,3.375,3.125,3.125,"The image has moderate brightness, medium color contrast with generally harmonious colors between the buildings and trees, obvious noise around the iron gates, windows, and structures, making details unclear and well-controlled exposure conditions, presenting a  unnatural appearance."
b_7_D,b_7_D.png,6.19333,3.875,3.5,3.125,3.3125,3.375,3.375,"The image has moderate brightness, high color contrast with harmonious colors,especially realistic green plants and gray buildings, obvious noise around the railing, making details hard to discern and appearing somewhat blurry and well-controlled exposure conditions, presenting a  natural appearance."
b_7_E,b_7_E.png,5.4,3.875,3.0625,2.875,3.0625,3.125,3.5,"The image has moderate brightness,all elements within are clearly visible, low color contrast,the green color of the leaves looks natural, obvious noise and well-controlled exposure conditions, presenting a  natural appearance."
b_7_F,b_7_F.png,4.94,3.125,3.4375,2.625,3.4375,3.1875,3.25,"The image has moderate brightness on the left side,but the right side is slightly darker, obscuring details of the iron gate, low color contrast with realistic green tones in the trees, obvious noise noise present on the gate, iron bars, and buildings and well-controlled exposure conditions, presenting a  unnatural appearance."
b_7_G,b_7_G.png,3.4875,1.5625,2.1875,2.9375,3.625,2.625,2.3125,"The image has dim brightness with areas under the trees still in shadow,making it difficult to discern colors and details in those parts, low color contrast, slight noise and well-controlled exposure conditions, presenting a  unnatural appearance."
b_7_H,b_7_H.png,3.24667,3.4375,3.125,1.75,3.0625,2.06667,2.375,"The image has moderate brightness, high color contrast with harmonious colors,especially realistic green plants and gray buildings, obvious noise and well-controlled exposure conditions, presenting a  unnatural appearance."
b_7_I,b_7_I.png,3.3125,1.5,2.375,3.1875,3.5625,2.875,2.25,"The image has dim brightness,making details hard to discern, medium color contrast with muted colors,and the green plants and gray buildings appear somewhat dull, slight noise in dark areas and well-controlled exposure conditions, presenting a  natural appearance."
b_7_J,b_7_J.png,5.92667,3.1875,3.5,3.375,3.5625,3.6875,3.5625,"The image has moderate brightness, medium color contrast with vibrant colors with high saturation, obvious noise  around the railing, obscuring its details, and the trees and buildings appear unrealistic and well-controlled exposure conditions, presenting a  natural appearance."
b_9_A,b_9_A.png,2.28,3.5625,2.125,2.125,1.8125,1.6,2.3125,"The image has moderate brightness, low color contrast, severe noise and Severe exposure near the light, presenting a  unnatural appearance."
b_9_B,b_9_B.png,3.19375,1.9375,2.3125,2.8125,3.25,2.8125,2.625,"The image has dim brightness, low color contrast with pale colors and low contrast,especially where the blue sky and white clouds blend together, obvious noise and local exposure near the light, presenting a  unnatural appearance."
b_9_C,b_9_C.png,4.0625,2.8125,2.8125,2.5,3.0625,2.5,3.0,"The image has moderate brightness with no obvious exposure issues, low color contrast with a slightly blue hue, obvious noise and well-controlled exposure conditions, presenting a  unnatural appearance."
b_9_D,b_9_D.png,1.68,2.625,1.8125,2.0625,2.5,1.625,1.875,"The image has moderate brightness, medium color contrast with harmonious colors, obvious noise near the white clouds and well-controlled exposure conditions, presenting a  unnatural appearance."
b_9_E,b_9_E.png,4.2,3.4375,2.9375,2.1875,3.25,2.625,3.25,"The image has moderate brightness with no areas in shadow, medium color contrast,and colors in those areas to appear pale, severe noise, especially near the white clouds and buildingsand local exposure conditions, presenting a  unnatural appearance."
b_9_F,b_9_F.png,4.74667,2.53333,3.125,3.5625,3.5625,3.5625,3.375,"The image has moderate brightness without shadowed areas, medium color contrast with harmonious colors, slight noise near the white clouds and well-controlled exposure conditions, presenting a  natural appearance."
b_9_G,b_9_G.png,4.29375,2.6875,2.4375,3.1875,3.4375,2.5,3.0,"The image has moderate brightness, low color contrast with vibrant sky colors, obvious noise near the white clouds in the sky and well-controlled exposure conditions, presenting a  natural appearance."
b_9_H,b_9_H.png,2.76,3.0,2.4375,2.3125,2.125,1.875,2.6875,"The image has moderate brightness, low color contrast with a blueish tone,making the sky and clouds blend together like noise, severe noise and Severe exposure on the building lights, presenting a  unnatural appearance."
b_9_I,b_9_I.png,3.5,3.1875,2.3125,2.6875,2.375,2.125,2.6875,"The image has bright brightness, low color contrast with the blue sky and white clouds appearing very similar, severe noise and Severe exposure on the building lights, presenting a  unnatural appearance."
b_9_J,b_9_J.png,4.48125,2.875,3.1875,3.125,3.4375,3.0,3.0,"The image has moderate brightness, low color contrast with vibrant colors but an overall blue tint, obvious noise near the lights and some noise on the buildings and local exposure conditions, presenting a  unnatural appearance."
b_10_A,b_10_A.png,2.6,1.6875,2.0,3.5,3.1875,2.6875,2.1875,"The image has dim brightness and other parts of the image besides the buildings are completely in darkness, medium color contrast, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
b_10_B,b_10_B.png,1.62143,2.9375,2.5625,1.5625,2.6875,2.125,2.0,"The image has moderate brightness, low color contrast, severe noise and local exposure conditions, presenting a  natural appearance."
b_10_C,b_10_C.png,1.84,2.375,2.375,1.5,2.875,2.0,2.0625,"The image has moderate brightness with trees on both sides in shadow, high color contrast, severe noise near the buildings and well-controlled exposure conditions, presenting a  unnatural appearance."
b_10_D,b_10_D.png,1.33333,2.4375,1.875,1.4375,1.5625,1.6875,1.6875,"The image has dim brightness with extremely severe overexposure on the buildings, low color contrast, slight noise and Severe exposure on the buildings, presenting a  unnatural appearance."
b_10_E,b_10_E.png,1.65333,2.125,2.0625,3.375,2.0,2.25,1.8125,"The image has moderate brightness, low color contrast, slight noise and Severe exposure on the central buildings, presenting a  unnatural appearance."
b_10_F,b_10_F.png,1.25333,1.875,1.625,3.0625,1.5,1.8125,1.75,"The image has dim brightness, low color contrast, slight noise and Severe exposure on the buildings, presenting a  natural appearance."
b_10_G,b_10_G.png,0.65333,1.9375,1.25,1.5625,1.06667,1.125,1.375,"The image has dim brightness, low color contrast, severe noise near the buildings and local exposure conditions, presenting a  natural appearance."
b_10_H,b_10_H.png,3.37333,2.5,2.8125,3.25,3.5625,3.1875,2.6875,"The image has dim brightness with shadowed trees on both sides, medium color contrast, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
b_10_I,b_10_I.png,1.70667,2.125,1.66667,1.625,3.125,2.25,1.8125,"The image has moderate brightness, medium color contrast of the buildings, severe noise and well-controlled exposure around the buildings, presenting a  unnatural appearance."
b_10_J,b_10_J.png,1.24667,1.9375,1.875,1.5625,2.5625,1.4375,1.75,"The image has dim brightness, low color contrast, severe noise near the buildings and Severe exposure on the buildings, presenting a  unnatural appearance."
b_12_A,b_12_A.png,4.075,3.375,3.125,2.0625,2.9375,2.5625,3.0625,"The image has bright brightness, medium color contrast, obvious noise on the ground of the buildings and square and local exposure conditions, presenting a  unnatural appearance."
b_12_B,b_12_B.png,4.325,3.125,3.0625,2.875,3.0625,3.25,3.375,"The image has moderate brightness, medium color contrast on buildings making them look aged, severe noise and local exposure conditions, presenting a  unnatural appearance."
b_12_C,b_12_C.png,3.525,1.75,1.9375,3.4375,3.1875,2.8125,2.3125,"The image has dim brightness, low color contrast, slight noise and well-controlled exposure on the lights, presenting a  natural appearance."
b_12_D,b_12_D.png,3.62667,3.3125,2.8125,2.13333,2.0625,2.625,2.875,"The image has moderate brightness, low color contrast between the buildings and plaza ground, obvious noise and local exposure in the sky behind the lights and buildings, presenting a  unnatural appearance."
b_12_E,b_12_E.png,5.16,3.3125,3.25,3.0625,2.875,3.375,3.4375,"The image has moderate brightness with all elements are clear, medium color contrast between buildings and ground appearing natural and clear, slight noise and local exposure on the left side of the sky, presenting a  natural appearance."
b_12_F,b_12_F.png,3.6875,2.75,2.5625,2.4375,3.26667,2.5,3.0625,"The image has moderate brightness, high color contrast, slight noise and well-controlled exposure with minimal noise overall, presenting a  natural appearance."
b_12_G,b_12_G.png,4.75625,2.25,2.875,3.5,3.625,3.4375,3.375,"The image has dim brightness with clear visibility of all elements, low color contrast, slight noise and well-controlled exposure conditions, presenting a  unnatural appearance."
b_12_H,b_12_H.png,1.8,3.0,1.8125,1.5,2.3125,1.25,2.125,"The image has bright brightness, low color contrast between buildings and the sky, slight noise and local exposure on the right side of the sky, presenting a  unnatural appearance."
b_12_I,b_12_I.png,3.98125,2.875,1.9375,2.8125,2.5,2.3125,2.8125,"The image has dim brightness, low color contrast on the buildings, slight noise and Severe exposure behind the lights and structures, presenting a  unnatural appearance."
b_12_J,b_12_J.png,4.42667,3.4375,2.875,2.0,2.375,2.875,3.1875,"The image has moderate brightness, medium color contrast on buildings making them look aged, obvious noise and local exposure conditions, presenting a  unnatural appearance."
b_13_A,b_13_A.png,2.71875,3.1875,2.0,1.6875,1.66667,1.75,2.5,"The image has moderate brightness, low color contrast in the sky and rich reds on the rooftops, severe noise and local exposure conditions, presenting a  unnatural appearance."
b_13_B,b_13_B.png,2.7,2.9375,2.375,2.3125,2.6875,2.0625,2.6875,"The image has moderate brightness, low color contrast, obvious noise on the tree in the bottom right corner and local exposure conditions, presenting a  unnatural appearance."
b_13_C,b_13_C.png,1.54,2.5,2.125,1.375,1.9375,1.125,2.0,"The image has moderate brightness, low color contrast revealing distinct boundaries between the sky and houses, obvious noise and local exposure on the houses, presenting a  unnatural appearance."
b_13_D,b_13_D.png,3.69375,3.0625,3.0625,2.1875,3.0,2.5,2.8125,"The image has moderate brightness, high color contrast, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
b_13_E,b_13_E.png,4.3625,3.25,3.0625,2.5,3.0,2.625,3.25,"The image has bright brightness, high color contrast, obvious noise and well-controlled exposure conditions, presenting a  unnatural appearance."
b_13_F,b_13_F.png,3.26667,3.0625,3.0625,2.6875,2.6875,2.75,2.875,"The image has moderate brightness with no dark areas, high color contrast with the blue sky and red rooftops complement each other well, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
b_13_G,b_13_G.png,1.72667,2.875,1.9375,1.6875,1.6875,1.3125,1.9375,"The image has bright brightness with no dark areas obscuring details, low color contrast, severe noise and Severe exposure conditions, presenting a  natural appearance, suggesting it was taken in the evening.."
b_13_H,b_13_H.png,3.06667,3.0625,2.875,2.8125,2.4375,2.625,2.75,"The image has moderate brightness, high color contrast, severe noise around the image and well-controlled exposure conditions, presenting a  unnatural appearance."
b_13_I,b_13_I.png,1.34,2.75,1.875,1.46667,1.26667,1.4375,1.75,"The image has bright brightness, low color contrast, severe noise and Severe exposure conditions, presenting a  unnatural appearance, suggesting an evening shot.."
b_13_J,b_13_J.png,4.36429,2.9375,3.125,3.25,3.25,2.3125,2.875,"The image has moderate brightness, high color contrast, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
b_14_A,b_14_A.png,2.9625,2.3125,2.625,2.5625,2.0625,2.0625,2.0,"The image has dim brightness with trees in shadow both in front and behind the houses, low color contrast, obvious noise and Severe exposure on the surfaces of the houses, presenting a  unnatural appearance."
b_14_B,b_14_B.png,3.8,1.875,2.5,3.1875,3.4375,3.125,2.625,"The image has dim brightness with trees in shadow both in front and behind the houses, low color contrast with harmonious warm tones of the lights, obvious noise and well-controlled exposure conditions, presenting a  natural appearance."
b_14_C,b_14_C.png,5.15,2.6875,3.3125,2.8125,3.5,3.25,3.125,"The image has dim brightness, medium color contrast on the houses and lighting, slightly washed-out blue sky, rich house details, slight noise in the sky and rooftops and well-controlled exposure conditions, presenting a  unnatural appearance."
b_14_D,b_14_D.png,5.43333,3.1875,3.625,2.8125,3.4375,3.5625,3.25,"The image has moderate brightness, low color contrast in the sky, buildings, and lighting, slight noise on the leaves of the trees in front. and local exposure conditions, presenting a  unnatural appearance."
b_14_E,b_14_E.png,3.23125,3.1875,2.6875,2.625,2.1875,2.4375,2.5,"The image has moderate brightness, low color contrast with muted colors in the sky and houses,, an overall washed-out tone obvious noise in the sky and rooftops and local exposure on the house surfaces, presenting a  unnatural appearance."
b_14_F,b_14_F.png,2.6625,2.875,2.3125,1.5625,2.75,1.6875,2.3125,"The image has moderate brightness, medium color contrast, obvious noise on the sky and rooftops and local exposure on the surfaces of the houses, presenting a  unnatural appearance."
b_14_G,b_14_G.png,2.96,3.25,2.625,2.6875,1.73333,2.1875,2.1875,"The image has bright brightness, low color contrast especially with a pale blue sky, obvious noise in the sky and Severe exposure on the surfaces of the buildings, presenting a  unnatural appearance."
b_14_H,b_14_H.png,5.675,3.125,3.625,3.4375,3.625,3.25,3.1875,"The image has moderate brightness with vibrant whites of the houses and blue sky, low color contrast, slight noise on the rooftops and the foreground plants appear slightly blurry and well-controlled exposure of the lights, presenting a  natural appearance."
b_14_I,b_14_I.png,4.95333,3.25,3.625,2.25,3.86667,3.25,3.3125,"The image has moderate brightness with well-controlled exposure of the lights, medium color contrast showcasing vibrant warm tones of the lights and white houses, obvious noise on the sky, rooftops, and houses and well-controlled exposure conditions, presenting a  unnatural appearance."
b_14_J,b_14_J.png,4.56667,3.5,3.0625,3.125,2.8125,2.875,2.8125,"The image has moderate brightness  with all elements clearly visible, medium color contrast with a yellowish tint, severe noise in the sky, house, and foreground leaves and well-controlled exposure conditions, presenting a  unnatural appearance."
b_15_A,b_15_A.png,5.71875,2.5,3.5625,3.5,3.8125,3.4375,3.3125,"The image has dim brightness, high color contrast particularly vibrant reds in the shop signs and interior lighting, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
b_15_B,b_15_B.png,4.5375,3.5625,2.875,2.9375,2.875,2.8125,3.0,"The image has bright brightness, medium color contrast, slight noise and local exposure conditions, presenting a  natural appearance, giving a warm and harmonious feeling."
b_15_C,b_15_C.png,1.72667,3.3125,2.375,1.625,1.8125,1.1875,1.6875,"The image has moderate brightness, medium color contrast with contrasting red signage and yellow interior lighting, slight noise and local exposure on the white interior shop lights, presenting a  natural appearance."
b_15_D,b_15_D.png,4.825,3.75,3.0625,3.4375,2.5,2.6875,3.125,"The image has moderate brightness, low color contrast appearing fairly natural with harmonious but not very vibrant colors, obvious noise and local exposure on the white interior shop lights, presenting a  unnatural appearance."
b_15_E,b_15_E.png,5.66429,3.3125,3.625,3.8125,3.375,3.75,3.375,"The image has moderate brightness, low color contrast featuring vibrant but discordant colors, severe noise and local exposure conditions, presenting a  unnatural appearance."
b_15_F,b_15_F.png,3.1625,3.375,2.5625,2.4375,1.4,1.6875,2.1875,"The image has bright brightness, low color contrast, obvious noise and Severe exposure even the words on the billboard are barely visible, presenting a  unnatural appearance."
b_15_G,b_15_G.png,7.33333,3.9375,4.0625,3.875,3.875,4.0625,3.9375,"The image has bright brightness, high color contrast especially vibrant yellow shop signs, slight noise and local exposure conditions, presenting a  natural appearance, presenting a remarkably natural scene that evokes a warm and harmonious feeling.."
b_15_H,b_15_H.png,4.88125,3.6875,3.4375,3.25,2.75,3.125,3.1875,"The image has bright brightness, medium color contrast, slight noise and local exposure on the exterior signage and interior shop lights, presenting a  natural appearance."
b_15_I,b_15_I.png,2.75625,3.375,2.125,2.625,1.46667,1.8125,2.0625,"The image has moderate brightness, low color contrast with a white bias in its tone, severe noise with rich detail in the leaves and Severe exposure conditions, presenting a  unnatural appearance."
b_15_J,b_15_J.png,7.12667,3.6875,4.125,3.6875,3.8125,3.9375,3.75,"The image has bright brightness, high color contrast particularly vibrant yellow shop signs and red interior lighting, rich details overall, slight noise and local exposure conditions, presenting a  natural appearance."
b_16_A,b_16_A.png,1.8625,2.6875,1.75,2.4375,1.06667,1.375,1.875,"The image has moderate brightness with the building in the lower right corner in shadow, low color contrast and the colors of the buildings on both sides are tinged with blue, obvious noise and Severe exposure on the right side of the oval building, presenting a  unnatural appearance."
b_16_B,b_16_B.png,6.16667,3.375,3.125,3.125,3.8125,3.3125,3.5625,"The image has moderate brightness with all elements are clear, low color contrast, colors are vibrant but lacking in high contrast, obvious noise and well-controlled exposure on the right side of the oval building, presenting a  unnatural appearance."
b_16_C,b_16_C.png,3.69333,2.9375,3.0625,3.5,3.625,3.0,2.4375,"The image has moderate brightness, low color contrast with the buildings appear bluish, obvious noise and well-controlled exposure conditions, presenting a  unnatural appearance."
b_16_D,b_16_D.png,2.30667,2.875,2.1875,1.625,2.8125,1.6875,2.3125,"The image has moderate brightness with the building in the bottom right corner and the roofs of other houses not restored, low color contrast, obvious noise and local exposure conditions, presenting a  unnatural appearance."
b_16_E,b_16_E.png,2.08667,3.1875,2.125,2.75,1.6,1.8125,2.375,"The image has bright brightness, medium color contrast with an overall washed-out tone, obvious noise and Severe exposure on the right side of the oval building, presenting a  natural appearance."
b_16_F,b_16_F.png,5.49375,3.625,3.0625,3.25,3.375,3.1875,3.5,"The image has bright brightness, medium color contrast, obvious noise on the building in the bottom right corner and well-controlled exposure on the sky, presenting a  unnatural appearance."
b_16_G,b_16_G.png,4.25625,3.3125,2.6875,2.5,2.875,2.375,2.8125,"The image has moderate brightness, medium color contrast with overall color tone is biased towards blue, obvious noise and well-controlled exposure conditions, presenting a  unnatural appearance."
b_16_H,b_16_H.png,5.72667,3.0,3.25,3.0625,3.5,3.125,3.4375,"The image has moderate brightness, high color contrast with an overall bluish tone, and with discordant colors between the buildings on the left and right sides obvious noise in the sky and the lower right building and well-controlled exposure conditions, presenting a  natural appearance."
b_16_I,b_16_I.png,4.08125,2.625,2.5625,2.5625,3.375,2.75,2.6875,"The image has dim brightness and the building in the bottom right corner cast in shadow, low color contrast, severe noise in the sky and well-controlled exposure conditions, presenting a  unnatural appearance."
b_16_J,b_16_J.png,6.22667,3.625,3.625,3.75,3.1875,3.875,3.6875,"The image has bright brightness with no shadowed areas, medium color contrast, slight noise and local exposure conditions, presenting a  natural appearance."
b_17_A,b_17_A.png,0.86,2.5625,1.5625,1.2,1.6875,1.0,1.4375,"The image has moderate brightness, low color contrast with harmonious colors between the sky and buildings, obvious noise on the buildings and well-controlled exposure conditions, presenting a  unnatural appearance."
b_17_B,b_17_B.png,3.925,2.75,2.5,2.0625,3.1875,2.8125,2.75,"The image has moderate brightness, low color contrast with harmonious colors between the trees and buildings, obvious noise in the sky and local exposure conditions, presenting a  unnatural appearance."
b_17_C,b_17_C.png,3.20667,1.9375,2.4375,3.4375,3.5,2.6875,2.4375,"The image has dim brightness, medium color contrast particularly natural sunset hues in the sky, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
b_17_D,b_17_D.png,3.78125,2.875,2.4375,2.9375,3.125,3.0625,3.0,"The image has bright brightness, medium color contrast with rich colors, slight noise around buildings and trees and local exposure in the sky and significant, presenting a  natural appearance."
